U+02C6 ˆ
U+02C7 ˇ
U+02D8 ˘
U+02D9 ˙
U+02DB ˛
U+02DD ˝
U+1680  
U+2127 ℧
U+2616 ☖
U+2617 ☗
U+261E ☞
U+30FF ヿ
U+32FF ㋿
U+3371 ㍱
U+337B ㍻
U+337C ㍼
U+337D ㍽
U+337E ㍾
U+337F ㍿
U+3385 ㎅
U+3386 ㎆
U+3387 ㎇
U+3388 ㎈
U+3389 ㎉
U+338D ㎍
U+338E ㎎
U+338F ㎏
U+3390 ㎐
U+3396 ㎖
U+3397 ㎗
U+3398 ㎘
U+339B ㎛
U+339C ㎜
U+339D ㎝
U+339E ㎞
U+339F ㎟
U+33A0 ㎠
U+33A1 ㎡
U+33A2 ㎢
U+33A3 ㎣
U+33A4 ㎤
U+33A5 ㎥
U+33A6 ㎦
U+33B0 ㎰
U+33B1 ㎱
U+33B2 ㎲
U+33B3 ㎳
U+33C2 ㏂
U+33C4 ㏄
U+33CB ㏋
U+33CD ㏍
U+33D4 ㏔
U+33D7 ㏗
U+33D8 ㏘
U+33DA ㏚
U+4E28 丨
U+5002 倂
U+537D 卽
U+589E 增
U+5BEC 寬
U+5DE2 巢
U+5F50 彐
U+5FB5 徵
U+5FB7 德
U+623E 戾
U+63ED 揭
U+64CA 擊
U+665A 晚
U+66C6 曆
U+69EA 槪
U+6A6B 橫
U+6B65 步
U+6B77 歷
U+6BCF 每
U+6CAA 沪
U+6D89 涉
U+6DDA 淚
U+6E34 渴
U+6EAB 溫
U+7028 瀨
U+72C0 狀
U+7501 甁
U+784F 硏
U+793B 礻
U+79B8 禸
U+7DA0 綠
U+7DD6 緖
U+7DE3 緣
U+85B0 薰
U+865B 虛
U+8CF4 賴
U+8FB5 辵
U+90DE 郞
U+9115 鄕
U+9304 錄
U+934A 鍊
U+98E0 飠
U+9B2D 鬭
U+9EC3 黃
U+F91D 欄
U+F928 廊
U+F929 朗
U+F936 虜
U+F970 殺
U+F9D0 類
U+F9DC 隆
U+FA10 塚
U+FA16 猪
U+FA19 神
U+FA1A 祥
U+FA1B 福
U+FA22 諸
U+FA26 都
U+FA30 侮
U+FA31 僧
U+FA32 免
U+FA33 勉
U+FA34 勤
U+FA35 卑
U+FA36 喝
U+FA37 嘆
U+FA38 器
U+FA39 塀
U+FA3A 墨
U+FA3B 層
U+FA3D 悔
U+FA3E 慨
U+FA3F 憎
U+FA40 懲
U+FA41 敏
U+FA42 既
U+FA43 暑
U+FA44 梅
U+FA45 海
U+FA46 渚
U+FA47 漢
U+FA48 煮
U+FA4A 琢
U+FA4B 碑
U+FA4C 社
U+FA4D 祉
U+FA4E 祈
U+FA4F 祐
U+FA50 祖
U+FA51 祝
U+FA52 禍
U+FA53 禎
U+FA54 穀
U+FA55 突
U+FA56 節
U+FA57 練
U+FA59 繁
U+FA5A 署
U+FA5B 者
U+FA5C 臭
U+FA5F 著
U+FA60 褐
U+FA61 視
U+FA62 謁
U+FA63 謹
U+FA64 賓
U+FA65 贈
U+FA66 辶
U+FA67 逸
U+FA68 難
U+FA69 響
U+FE10 ︐
U+FE11 ︑
U+FE12 ︒
U+FE19 ︙
U+FE30 ︰
U+FE31 ︱
U+FE32 ︲
U+FE33 ︳
U+FE35 ︵
U+FE36 ︶
U+FE37 ︷
U+FE38 ︸
U+FE39 ︹
U+FE3A ︺
U+FE3B ︻
U+FE3C ︼
U+FE3D ︽
U+FE3E ︾
U+FE3F ︿
U+FE40 ﹀
U+FE41 ﹁
U+FE42 ﹂
U+FE43 ﹃
U+FE44 ﹄
U+FE45 ﹅
U+FE46 ﹆
U+FE47 ﹇
U+FE48 ﹈
