U+1680  
U+2010 ‐
U+2011 ‑
U+2012 ‒
U+2016 ‖
U+2025 ‥
U+2032 ′
U+2033 ″
U+203C ‼
U+203E ‾
U+2103 ℃
U+2113 ℓ
U+2121 ℡
U+2127 ℧
U+212B Å
U+2192 →
U+2460 ①
U+2461 ②
U+2462 ③
U+2463 ④
U+2464 ⑤
U+2465 ⑥
U+2466 ⑦
U+2467 ⑧
U+2468 ⑨
U+2469 ⑩
U+246A ⑪
U+246B ⑫
U+246C ⑬
U+246D ⑭
U+246E ⑮
U+246F ⑯
U+2470 ⑰
U+2471 ⑱
U+2472 ⑲
U+2473 ⑳
U+2600 ☀
U+2601 ☁
U+2602 ☂
U+2603 ☃
U+2605 ★
U+2606 ☆
U+260E ☎
U+2616 ☖
U+2617 ☗
U+261E ☞
U+2640 ♀
U+2642 ♂
U+2660 ♠
U+2661 ♡
U+2662 ♢
U+2663 ♣
U+2664 ♤
U+2665 ♥
U+2666 ♦
U+2667 ♧
U+2668 ♨
U+2669 ♩
U+266A ♪
U+266B ♫
U+266C ♬
U+266D ♭
U+266E ♮
U+266F ♯
U+3003 〃
U+300A 《
U+300B 》
U+3010 【
U+3011 】
U+3013 〓
U+3014 〔
U+3015 〕
U+3016 〖
U+3017 〗
U+3018 〘
U+3019 〙
U+301D 〝
U+301F 〟
U+303C 〼
U+303D 〽
U+3095 ゕ
U+3096 ゖ
U+309B ゛
U+309C ゜
U+309F ゟ
U+30A0 ゠
U+30FE ヾ
U+30FF ヿ
U+32FF ㋿
U+3371 ㍱
U+337B ㍻
U+337C ㍼
U+337D ㍽
U+337E ㍾
U+337F ㍿
U+3385 ㎅
U+3386 ㎆
U+3387 ㎇
U+3388 ㎈
U+3389 ㎉
U+338D ㎍
U+338E ㎎
U+338F ㎏
U+3390 ㎐
U+3396 ㎖
U+3397 ㎗
U+3398 ㎘
U+339B ㎛
U+339C ㎜
U+339D ㎝
U+339E ㎞
U+339F ㎟
U+33A0 ㎠
U+33A1 ㎡
U+33A2 ㎢
U+33A3 ㎣
U+33A4 ㎤
U+33A5 ㎥
U+33A6 ㎦
U+33B0 ㎰
U+33B1 ㎱
U+33B2 ㎲
U+33B3 ㎳
U+33C2 ㏂
U+33C4 ㏄
U+33CB ㏋
U+33CD ㏍
U+33D4 ㏔
U+33D7 ㏗
U+33D8 ㏘
U+33DA ㏚
U+4FE0 俠
U+5002 倂
U+537D 卽
U+5699 嚙
U+56CA 囊
U+589E 增
U+58D9 壙
U+58E5 壥
U+599B 妛
U+5BE5 寥
U+5BEB 寫
U+5BEC 寬
U+5BF6 寶
U+5C46 屆
U+5DE2 巢
U+5F41 彁
U+5F50 彐
U+5FB5 徵
U+6077 恷
U+6158 慘
U+623E 戾
U+6327 挧
U+63D2 插
U+63ED 揭
U+6414 搔
U+6451 摑
U+64CA 擊
U+64DA 據
U+64F4 擴
U+6522 攢
U+652A 攪
U+65B7 斷
