U+02C7 ˇ
U+02D8 ˘
U+02D9 ˙
U+02DB ˛
U+02DD ˝
U+1680  
U+2011 ‑
U+2012 ‒
U+2016 ‖
U+2030 ‰
U+203E ‾
U+2103 ℃
U+2113 ℓ
U+2116 №
U+2121 ℡
U+2127 ℧
U+212B Å
U+2469 ⑩
U+246A ⑪
U+246B ⑫
U+246C ⑬
U+246D ⑭
U+246E ⑮
U+246F ⑯
U+2470 ⑰
U+2471 ⑱
U+2472 ⑲
U+2473 ⑳
U+2600 ☀
U+2601 ☁
U+2602 ☂
U+2603 ☃
U+260E ☎
U+2616 ☖
U+2617 ☗
U+261E ☞
U+2669 ♩
U+266B ♫
U+266D ♭
U+266E ♮
U+266F ♯
U+3016 〖
U+3017 〗
U+3018 〘
U+3019 〙
U+303C 〼
U+309F ゟ
U+30A0 ゠
U+30FF ヿ
U+3371 ㍱
U+337B ㍻
U+337C ㍼
U+337D ㍽
U+337E ㍾
U+337F ㍿
U+3385 ㎅
U+3386 ㎆
U+3387 ㎇
U+3388 ㎈
U+3389 ㎉
U+338D ㎍
U+338E ㎎
U+338F ㎏
U+3390 ㎐
U+3396 ㎖
U+3397 ㎗
U+3398 ㎘
U+339B ㎛
U+339C ㎜
U+339D ㎝
U+339E ㎞
U+339F ㎟
U+33A0 ㎠
U+33A1 ㎡
U+33A2 ㎢
U+33A3 ㎣
U+33A4 ㎤
U+33A5 ㎥
U+33A6 ㎦
U+33B0 ㎰
U+33B1 ㎱
U+33B2 ㎲
U+33B3 ㎳
U+33C2 ㏂
U+33C4 ㏄
U+33CB ㏋
U+33CD ㏍
U+33D4 ㏔
U+33D7 ㏗
U+33D8 ㏘
U+33DA ㏚
U+FE30 ︰
U+FE32 ︲
U+FE33 ︳
U+FF02 ＂
U+FF07 ＇
U+FF1C ＜
U+FF1E ＞
U+FF3E ＾
U+FF3F ＿
U+FF40 ｀
U+FF5C ｜
U+FF5F ｟
U+FF60 ｠
U+FF61 ｡
U+FF62 ｢
U+FF63 ｣
U+FF64 ､
U+FF65 ･
U+FF66 ｦ
U+FF67 ｧ
U+FF68 ｨ
U+FF69 ｩ
U+FF6A ｪ
U+FF6B ｫ
U+FF6C ｬ
U+FF6D ｭ
U+FF6E ｮ
U+FF6F ｯ
U+FF70 ｰ
U+FF71 ｱ
U+FF72 ｲ
U+FF73 ｳ
U+FF74 ｴ
U+FF75 ｵ
U+FF76 ｶ
U+FF77 ｷ
U+FF78 ｸ
U+FF79 ｹ
U+FF7A ｺ
U+FF7B ｻ
U+FF7C ｼ
U+FF7D ｽ
U+FF7E ｾ
U+FF7F ｿ
U+FF80 ﾀ
U+FF81 ﾁ
U+FF82 ﾂ
U+FF83 ﾃ
U+FF84 ﾄ
U+FF85 ﾅ
U+FF86 ﾆ
U+FF87 ﾇ
U+FF88 ﾈ
U+FF89 ﾉ
U+FF8A ﾊ
U+FF8B ﾋ
U+FF8C ﾌ
U+FF8D ﾍ
U+FF8E ﾎ
U+FF8F ﾏ
U+FF90 ﾐ
U+FF91 ﾑ
U+FF92 ﾒ
U+FF93 ﾓ
U+FF94 ﾔ
U+FF95 ﾕ
U+FF96 ﾖ
U+FF97 ﾗ
U+FF98 ﾘ
U+FF99 ﾙ
U+FF9A ﾚ
U+FF9B ﾛ
U+FF9C ﾜ
U+FF9D ﾝ
U+FF9E ﾞ
U+FF9F ﾟ
